type,#,cpu_usage,request_time,db_time,memory_usage,total_time
POST,1,0.0,0.019999980926513672,0.003999948501586914,29310976,0.003999948501586914
POST,2,0.0,0.004999876022338867,0.002000093460083008,29310976,0.002000093460083008
POST,3,0.0,0.005000114440917969,0.002000093460083008,29310976,0.002000093460083008
POST,4,0.0,0.004999876022338867,0.0019998550415039062,29310976,0.0019998550415039062
POST,5,0.0,0.005000114440917969,0.002000093460083008,29310976,0.002000093460083008
POST,6,114.3,0.004999876022338867,0.0019998550415039062,29310976,0.0019998550415039062
POST,7,0.0,0.005000114440917969,0.002000093460083008,29310976,0.002000093460083008
POST,8,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,9,0.0,0.003999948501586914,0.0009999275207519531,29310976,0.0009999275207519531
POST,10,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.002000093460083008
POST,11,0.0,0.005000114440917969,0.0019998550415039062,29310976,0.0019998550415039062
POST,12,0.0,0.006000041961669922,0.0009999275207519531,29310976,0.002000093460083008
POST,13,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.0009999275207519531
POST,14,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,15,0.0,0.004999876022338867,0.0010001659393310547,29310976,0.0010001659393310547
POST,16,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,17,0.0,0.004999876022338867,0.002000093460083008,29310976,0.002000093460083008
POST,18,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0019998550415039062
POST,19,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.002000093460083008
POST,20,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0019998550415039062
POST,21,0.0,0.006000041961669922,0.0009999275207519531,29310976,0.0009999275207519531
POST,22,0.0,0.004999876022338867,0.002000093460083008,29310976,0.002000093460083008
POST,23,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0019998550415039062
POST,24,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.002000093460083008
POST,25,0.0,0.005000114440917969,0.0019998550415039062,29310976,0.0019998550415039062
POST,26,0.0,0.004999876022338867,0.0010001659393310547,29310976,0.0010001659393310547
POST,27,0.0,0.005000114440917969,0.0019998550415039062,29310976,0.0019998550415039062
POST,28,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.0009999275207519531
POST,29,0.0,0.003999948501586914,0.0009999275207519531,29310976,0.0009999275207519531
POST,30,0.0,0.006000041961669922,0.0009999275207519531,29310976,0.0009999275207519531
POST,31,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.0009999275207519531
POST,32,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,33,0.0,0.004999876022338867,0.0010001659393310547,29310976,0.0010001659393310547
POST,34,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,35,0.0,0.003999948501586914,0.0010001659393310547,29310976,0.0010001659393310547
POST,36,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.002000093460083008
POST,37,0.0,0.005000114440917969,0.002000093460083008,29310976,0.002000093460083008
POST,38,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.002000093460083008
POST,39,0.0,0.006000041961669922,0.002000093460083008,29310976,0.002000093460083008
POST,40,133.3,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,41,0.0,0.003999948501586914,0.0010001659393310547,29310976,0.0010001659393310547
POST,42,0.0,0.006000041961669922,0.0009999275207519531,29310976,0.0019998550415039062
POST,43,0.0,0.004999876022338867,0.0010001659393310547,29310976,0.0010001659393310547
POST,44,0.0,0.005000114440917969,0.002000093460083008,29310976,0.002000093460083008
POST,45,0.0,0.004999876022338867,0.002000093460083008,29310976,0.002000093460083008
POST,46,0.0,0.005000114440917969,0.002000093460083008,29310976,0.002000093460083008
POST,47,0.0,0.004999876022338867,0.002000093460083008,29310976,0.002000093460083008
POST,48,0.0,0.005000114440917969,0.0010001659393310547,29310976,0.0010001659393310547
POST,49,0.0,0.006000041961669922,0.0009999275207519531,29310976,0.0019998550415039062
POST,50,0.0,0.004999876022338867,0.0010001659393310547,29310976,0.0010001659393310547
POST,51,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,52,0.0,0.004999876022338867,0.002000093460083008,29310976,0.002000093460083008
POST,53,0.0,0.005000114440917969,0.002000093460083008,29310976,0.002000093460083008
POST,54,0.0,0.006000041961669922,0.0009999275207519531,29310976,0.0009999275207519531
POST,55,0.0,0.004999876022338867,0.002000093460083008,29310976,0.002000093460083008
POST,56,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,57,0.0,0.006000041961669922,0.0009999275207519531,29310976,0.0009999275207519531
POST,58,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.0009999275207519531
POST,59,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,60,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.0009999275207519531
POST,61,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,62,0.0,0.004999876022338867,0.0009999275207519531,29310976,0.0009999275207519531
POST,63,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,64,0.0,0.004999876022338867,0.0010001659393310547,29310976,0.0010001659393310547
POST,65,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,66,0.0,0.004999876022338867,0.002000093460083008,29310976,0.002000093460083008
POST,67,0.0,0.006000041961669922,0.0009999275207519531,29310976,0.0009999275207519531
POST,68,0.0,0.005000114440917969,0.0019998550415039062,29310976,0.0019998550415039062
POST,69,0.0,0.00599980354309082,0.002000093460083008,29310976,0.002000093460083008
POST,70,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,71,0.0,0.006000041961669922,0.002000093460083008,29310976,0.002000093460083008
POST,72,0.0,0.004999876022338867,0.0010001659393310547,29310976,0.0010001659393310547
POST,73,0.0,0.005000114440917969,0.0009999275207519531,29310976,0.0009999275207519531
POST,74,0.0,0.003999948501586914,0.0010001659393310547,29310976,0.0010001659393310547
POST,75,0.0,0.006000041961669922,0.0009999275207519531,29310976,0.0019998550415039062
POST,76,0.0,0.004999876022338867,0.0010001659393310547,29310976,0.0010001659393310547
