type,#,cpu_usage,request_time,db_time,memory_usage,total_time
POST,1,0.0,0.019999980926513672,0.009999990463256836,27525120,0.009999990463256836
POST,2,0.0,0.006999969482421875,0.004999876022338867,27525120,0.004999876022338867
POST,3,0.0,0.00800013542175293,0.00800013542175293,27525120,0.00800013542175293
POST,4,0.0,0.007999897003173828,0.007999897003173828,27525120,0.007999897003173828
POST,5,0.0,0.00800013542175293,0.0,27525120,0.0
POST,6,0.0,0.007999897003173828,0.0,27525120,0.0
POST,7,0.0,0.0,0.0,27525120,0.0
POST,8,0.0,0.007999897003173828,0.0,27525120,0.0
POST,9,0.0,0.00800013542175293,0.0,27525120,0.0
POST,10,0.0,0.007999897003173828,0.0,27525120,0.0
POST,11,0.0,0.00800013542175293,0.0,27525120,0.0
POST,12,0.0,0.007999897003173828,0.0,27525120,0.0
POST,13,0.0,0.00800013542175293,0.0,27525120,0.0
POST,14,0.0,0.017999887466430664,0.006999969482421875,27525120,0.006999969482421875
POST,15,0.0,0.002000093460083008,0.0,27525120,0.0
POST,16,100.0,0.008999824523925781,0.0,27525120,0.008999824523925781
POST,17,0.0,0.00800013542175293,0.00800013542175293,27525120,0.00800013542175293
POST,18,88.9,0.007999897003173828,0.007999897003173828,27525120,0.007999897003173828
POST,19,0.0,0.00800013542175293,0.00800013542175293,27525120,0.00800013542175293
POST,20,0.0,0.007999897003173828,0.007999897003173828,27525120,0.007999897003173828
POST,21,0.0,0.00800013542175293,0.0,27525120,0.0
POST,22,0.0,0.006999969482421875,0.0,27525120,0.0
POST,23,0.0,0.008999824523925781,0.0,27525120,0.0
POST,24,0.0,0.0,0.0,27525120,0.0
POST,25,0.0,0.0070002079010009766,0.0,27525120,0.0
POST,26,0.0,0.007999897003173828,0.0,27525120,0.0
POST,27,0.0,0.01399993896484375,0.003999948501586914,27525120,0.003999948501586914
POST,28,0.0,0.006999969482421875,0.003000020980834961,27525120,0.003000020980834961
POST,29,0.0,0.00800013542175293,0.0,27525120,0.0
POST,30,0.0,0.0,0.0,27525120,0.0
POST,31,0.0,0.007999897003173828,0.0,27525120,0.0
POST,32,0.0,0.00800013542175293,0.00800013542175293,27525120,0.00800013542175293
POST,33,100.0,0.007999897003173828,0.007999897003173828,27533312,0.007999897003173828
POST,34,0.0,0.00800013542175293,0.00800013542175293,27533312,0.00800013542175293
POST,35,0.0,0.007999897003173828,0.007999897003173828,27533312,0.007999897003173828
POST,36,0.0,0.007999897003173828,0.0,27533312,0.0
POST,37,0.0,0.00800013542175293,0.0,27533312,0.0
POST,38,0.0,0.0,0.0,27541504,0.0
POST,39,0.0,0.007999897003173828,0.0,27549696,0.0
POST,40,0.0,0.00800013542175293,0.0,27549696,0.0
POST,41,0.0,0.013000011444091797,0.003000020980834961,27549696,0.003000020980834961
POST,42,0.0,0.006999969482421875,0.003000020980834961,27549696,0.003000020980834961
POST,43,0.0,0.0,0.0,27549696,0.0
POST,44,0.0,0.023999929428100586,0.0,27549696,0.0
POST,45,0.0,0.00800013542175293,0.0,27549696,0.0
