type,#,cpu_usage,request_time,db_time,memory_usage,total_time
GET,1,0.0,0.05200004577636719,0.002000093460083008,36298752,0.002000093460083008
GET,2,0.0,0.029000043869018555,0.003000020980834961,36298752,0.003000020980834961
GET,3,0.0,0.05499982833862305,0.0019998550415039062,36298752,0.0019998550415039062
GET,4,0.0,0.15199995040893555,0.0019998550415039062,36298752,0.0019998550415039062
GET,5,0.0,0.16100001335144043,0.0019998550415039062,36298752,0.0019998550415039062
GET,6,0.0,0.021000146865844727,0.002000093460083008,36298752,0.002000093460083008
GET,7,0.0,0.031999826431274414,0.0009999275207519531,36298752,0.0009999275207519531
GET,8,0.0,0.13200020790100098,0.002000093460083008,36298752,0.002000093460083008
GET,9,0.0,0.06999993324279785,0.0019998550415039062,36298752,0.0019998550415039062
GET,10,0.0,0.06699991226196289,0.003000020980834961,36298752,0.003000020980834961
GET,11,0.0,0.08300018310546875,0.0009999275207519531,36298752,0.0009999275207519531
GET,12,0.0,0.0409998893737793,0.002000093460083008,36298752,0.002000093460083008
GET,13,0.0,0.07500004768371582,0.002000093460083008,36298752,0.002000093460083008
GET,14,0.0,0.07399988174438477,0.003000020980834961,36298752,0.003000020980834961
GET,15,0.0,0.05900001525878906,0.0019998550415039062,36298752,0.0019998550415039062
GET,16,0.0,0.09299993515014648,0.002000093460083008,36298752,0.002000093460083008
GET,17,0.0,0.08100008964538574,0.002000093460083008,36298752,0.002000093460083008
GET,18,0.0,0.07999992370605469,0.003000020980834961,36298752,0.003000020980834961
GET,19,0.0,0.042999982833862305,0.0019998550415039062,36298752,0.0019998550415039062
GET,20,0.0,0.12400007247924805,0.0019998550415039062,36298752,0.0019998550415039062
GET,21,0.0,0.042999982833862305,0.0019998550415039062,36298752,0.0019998550415039062
GET,22,0.0,0.0710000991821289,0.002000093460083008,36298752,0.002000093460083008
GET,23,100.0,0.0820000171661377,0.002000093460083008,36298752,0.002000093460083008
GET,24,0.0,0.019999980926513672,0.0019998550415039062,36298752,0.0019998550415039062
GET,25,0.0,0.07999992370605469,0.003000020980834961,36298752,0.003000020980834961
GET,26,0.0,0.06700015068054199,0.0019998550415039062,36298752,0.0019998550415039062
GET,27,100.0,0.019999980926513672,0.0019998550415039062,36298752,0.0019998550415039062
GET,28,0.0,0.08099985122680664,0.0019998550415039062,36298752,0.0019998550415039062
GET,29,0.0,0.07200002670288086,0.002000093460083008,36298752,0.002000093460083008
GET,30,100.0,0.07500004768371582,0.003000020980834961,36298752,0.003000020980834961
GET,31,0.0,0.10500001907348633,0.0019998550415039062,36298752,0.0019998550415039062
GET,32,0.0,0.0709998607635498,0.0019998550415039062,36298752,0.0019998550415039062
GET,33,0.0,0.07000017166137695,0.002000093460083008,36298752,0.002000093460083008
GET,34,0.0,0.09099984169006348,0.003000020980834961,36298752,0.003000020980834961
GET,35,0.0,0.07800006866455078,0.0019998550415039062,36298752,0.0019998550415039062
GET,36,0.0,0.08100008964538574,0.0009999275207519531,36298752,0.0009999275207519531
GET,37,0.0,0.04999995231628418,0.0019998550415039062,36298752,0.0019998550415039062
GET,38,133.3,0.02200007438659668,0.002000093460083008,36298752,0.002000093460083008
GET,39,0.0,0.023999929428100586,0.0010001659393310547,36298752,0.0010001659393310547
GET,40,0.0,0.02200007438659668,0.002000093460083008,36298752,0.002000093460083008
GET,41,0.0,0.026999950408935547,0.0009999275207519531,36298752,0.0009999275207519531
GET,42,0.0,0.042999982833862305,0.003000020980834961,36298752,0.003000020980834961
GET,43,114.3,0.02499985694885254,0.0019998550415039062,36298752,0.0019998550415039062
GET,44,0.0,0.032000064849853516,0.0019998550415039062,36298752,0.0019998550415039062
GET,45,0.0,0.04400014877319336,0.0019998550415039062,36298752,0.0019998550415039062
GET,46,0.0,0.020999908447265625,0.003999948501586914,36298752,0.003999948501586914
GET,47,0.0,0.05800008773803711,0.002000093460083008,36298752,0.002000093460083008
GET,48,0.0,0.06299996376037598,0.0019998550415039062,36298752,0.0019998550415039062
GET,49,100.0,0.031999826431274414,0.0009999275207519531,36298752,0.0009999275207519531
GET,50,0.0,0.021000146865844727,0.003000020980834961,36298752,0.003000020980834961
GET,51,0.0,0.026999950408935547,0.002000093460083008,36298752,0.002000093460083008
GET,52,0.0,0.051000118255615234,0.002000093460083008,36298752,0.002000093460083008
GET,53,0.0,0.021999835968017578,0.002000093460083008,36298752,0.002000093460083008
GET,54,200.0,0.051000118255615234,0.002000093460083008,36298752,0.002000093460083008
GET,55,0.0,0.04499983787536621,0.002000093460083008,36298752,0.002000093460083008
GET,56,0.0,0.04500007629394531,0.002000093460083008,36298752,0.002000093460083008
GET,57,100.0,0.020999908447265625,0.002000093460083008,36298752,0.002000093460083008
GET,58,0.0,0.02200007438659668,0.002000093460083008,36298752,0.002000093460083008
GET,59,0.0,0.04699993133544922,0.002000093460083008,36298752,0.002000093460083008
GET,60,0.0,0.020000219345092773,0.002000093460083008,36298752,0.002000093460083008
GET,61,0.0,0.023000001907348633,0.002000093460083008,36298752,0.002000093460083008
GET,62,0.0,0.03699994087219238,0.0009999275207519531,36298752,0.0009999275207519531
GET,63,100.0,0.019999980926513672,0.002000093460083008,36298752,0.002000093460083008
GET,64,0.0,0.021000146865844727,0.0009999275207519531,36298752,0.0009999275207519531
GET,65,0.0,0.023999929428100586,0.0009999275207519531,36298752,0.0009999275207519531
GET,66,0.0,0.0409998893737793,0.0019998550415039062,36298752,0.0019998550415039062
GET,67,100.0,0.024000167846679688,0.0029997825622558594,36298752,0.0029997825622558594
